country,year,attack_type,target_industry,financial_loss_in_million,number_of_affected_users,attack_source,security_vulnerability_type,defense_mechanism_used,incident_resolution_time_in_hours,severity_score
Australia,2024,Man-in-the-Middle,Education,86.52,915463,Insider,Weak Passwords,Antivirus,2,915549.52
India,2018,Malware,Education,99.09,395264,Unknown,Weak Passwords,Antivirus,5,395363.09
China,2015,Man-in-the-Middle,Healthcare,66.13,946668,Hacker Group,Unpatched Software,Encryption,67,946734.13
USA,2023,Malware,IT,52.54,201017,Insider,Unpatched Software,Encryption,17,201069.54
Germany,2022,SQL Injection,IT,48,876383,Insider,Zero-day,Encryption,72,876431
Australia,2022,Ransomware,Government,10.84,564944,Insider,Social Engineering,Antivirus,58,564954.84
Russia,2023,Malware,IT,6.35,259573,Nation-state,Zero-day,Firewall,68,259579.35
Japan,2020,DDoS,Education,99.83,10859,Nation-state,Social Engineering,AI-based Detection,66,10958.83
Russia,2020,DDoS,Government,41.45,496378,Insider,Unpatched Software,AI-based Detection,42,496419.45
UK,2019,Man-in-the-Middle,Education,29.92,937987,Hacker Group,Weak Passwords,VPN,45,938016.92
India,2023,Ransomware,Education,9.32,182887,Hacker Group,Unpatched Software,Firewall,51,182896.32
France,2017,Man-in-the-Middle,Healthcare,34.43,927694,Insider,Social Engineering,VPN,43,927728.43
Brazil,2021,Man-in-the-Middle,Banking,81.68,893986,Insider,Unpatched Software,Firewall,47,894067.68
USA,2018,Phishing,Retail,36.85,852789,Hacker Group,Social Engineering,VPN,4,852825.85
Brazil,2024,Man-in-the-Middle,Healthcare,26.92,695427,Nation-state,Zero-day,Encryption,28,695453.92
India,2019,DDoS,Banking,35.31,961173,Insider,Social Engineering,VPN,37,961208.31
China,2018,Man-in-the-Middle,Healthcare,11.74,430760,Nation-state,Unpatched Software,Firewall,63,430771.74
Germany,2016,Ransomware,Telecommunications,93.93,198764,Insider,Zero-day,Encryption,40,198857.93
Brazil,2021,Malware,Banking,34.68,786462,Unknown,Weak Passwords,Firewall,17,786496.68
India,2020,Malware,IT,84.43,999542,Hacker Group,Social Engineering,Encryption,15,999626.43
Australia,2022,Malware,Government,24.6,221315,Nation-state,Unpatched Software,VPN,53,221339.6
Brazil,2018,SQL Injection,Education,52.7,861075,Hacker Group,Social Engineering,Encryption,7,861127.7
Japan,2022,Phishing,Telecommunications,33.54,55209,Nation-state,Unpatched Software,VPN,11,55242.54
India,2018,Phishing,Education,43.54,76479,Insider,Zero-day,Firewall,4,76522.54
Japan,2016,SQL Injection,Telecommunications,37.17,728731,Unknown,Weak Passwords,VPN,72,728768.17
Japan,2017,SQL Injection,Education,36.37,161579,Nation-state,Zero-day,Firewall,15,161615.37
Germany,2019,SQL Injection,Government,56.53,362642,Unknown,Social Engineering,Encryption,19,362698.53
Brazil,2017,DDoS,Education,29.76,913276,Insider,Social Engineering,Encryption,57,913305.76
Brazil,2019,Phishing,Government,70.6,817268,Nation-state,Zero-day,VPN,1,817338.6
UK,2021,SQL Injection,IT,80.05,682480,Hacker Group,Zero-day,AI-based Detection,14,682560.05
USA,2024,DDoS,Telecommunications,15.53,298385,Hacker Group,Unpatched Software,AI-based Detection,11,298400.53
China,2020,DDoS,Healthcare,6.32,682445,Nation-state,Social Engineering,Firewall,20,682451.32
India,2021,SQL Injection,Government,18.26,78277,Hacker Group,Weak Passwords,Firewall,51,78295.26
India,2023,Man-in-the-Middle,IT,90.85,985267,Hacker Group,Unpatched Software,Firewall,48,985357.85
Japan,2016,Man-in-the-Middle,Healthcare,2.59,603982,Hacker Group,Social Engineering,Firewall,18,603984.59
Japan,2021,DDoS,Banking,74.26,81354,Insider,Weak Passwords,Firewall,6,81428.26
France,2021,Phishing,Education,78.99,542754,Insider,Zero-day,VPN,42,542832.99
Australia,2020,Phishing,Education,85.79,905386,Hacker Group,Zero-day,Firewall,17,905471.79
UK,2021,Phishing,Banking,88.38,281387,Hacker Group,Social Engineering,Firewall,55,281475.38
France,2015,Malware,Banking,30.15,205850,Insider,Unpatched Software,Firewall,72,205880.15
Germany,2024,Malware,Telecommunications,70.44,998028,Hacker Group,Unpatched Software,Encryption,59,998098.44
China,2015,Malware,IT,20.63,780527,Hacker Group,Zero-day,Antivirus,68,780547.63
USA,2020,Ransomware,Telecommunications,56.37,667436,Insider,Social Engineering,AI-based Detection,11,667492.37
Japan,2022,Ransomware,Retail,71.26,440529,Insider,Weak Passwords,Encryption,20,440600.26
China,2023,Man-in-the-Middle,Banking,3.47,194670,Nation-state,Social Engineering,Firewall,29,194673.47
USA,2023,DDoS,Banking,53.59,750875,Nation-state,Weak Passwords,Encryption,30,750928.59
China,2020,Phishing,Retail,75.95,970373,Unknown,Social Engineering,AI-based Detection,58,970448.95
France,2024,Phishing,Retail,44.98,827399,Nation-state,Weak Passwords,AI-based Detection,25,827443.98
UK,2018,Man-in-the-Middle,Education,81.01,416149,Insider,Unpatched Software,Antivirus,56,416230.01
Germany,2015,Ransomware,IT,51.11,506625,Insider,Weak Passwords,VPN,41,506676.11
USA,2018,Phishing,Government,38.83,333027,Hacker Group,Zero-day,VPN,19,333065.83
USA,2021,SQL Injection,Telecommunications,89.93,982269,Insider,Unpatched Software,Antivirus,51,982358.93
Brazil,2024,Malware,Government,78.97,724903,Unknown,Weak Passwords,Encryption,53,724981.97
Russia,2024,DDoS,Education,26.82,156823,Hacker Group,Social Engineering,VPN,1,156849.82
China,2017,DDoS,Education,56.73,244753,Insider,Zero-day,VPN,45,244809.73
Russia,2022,Malware,Retail,71.15,258554,Unknown,Social Engineering,AI-based Detection,72,258625.15
Australia,2020,Ransomware,Telecommunications,97.9,139407,Insider,Unpatched Software,Antivirus,41,139504.9
France,2023,Phishing,Education,5.8,206203,Hacker Group,Social Engineering,Encryption,7,206208.8
UK,2016,SQL Injection,Government,69.55,55635,Unknown,Weak Passwords,Encryption,13,55704.55
Germany,2021,Ransomware,Education,11.42,55683,Hacker Group,Unpatched Software,AI-based Detection,19,55694.42
India,2023,Phishing,Banking,87.62,210006,Nation-state,Social Engineering,VPN,27,210093.62
Russia,2015,Man-in-the-Middle,Education,98.58,816455,Unknown,Unpatched Software,AI-based Detection,40,816553.58
UK,2020,SQL Injection,IT,87.48,53147,Nation-state,Social Engineering,Antivirus,9,53234.48
UK,2018,SQL Injection,Telecommunications,80.96,583514,Hacker Group,Zero-day,VPN,54,583594.96
UK,2022,Ransomware,Government,85.43,688150,Unknown,Weak Passwords,Firewall,58,688235.43
Japan,2023,Phishing,Government,3.54,809443,Insider,Weak Passwords,VPN,59,809446.54
Japan,2024,Malware,Government,34.03,78149,Nation-state,Weak Passwords,Encryption,30,78183.03
Australia,2018,DDoS,Banking,64.29,113775,Insider,Weak Passwords,AI-based Detection,14,113839.29
India,2021,Ransomware,Banking,54.97,798498,Nation-state,Zero-day,VPN,54,798552.97
Brazil,2016,Phishing,Education,97.45,267789,Insider,Weak Passwords,Encryption,26,267886.45
UK,2023,SQL Injection,Telecommunications,30.19,833840,Insider,Unpatched Software,Antivirus,6,833870.19
USA,2018,DDoS,Banking,6.61,646433,Insider,Social Engineering,Firewall,37,646439.61
Brazil,2017,Man-in-the-Middle,Government,68.03,403770,Hacker Group,Weak Passwords,Encryption,22,403838.03
Germany,2018,SQL Injection,Retail,75.63,814701,Hacker Group,Social Engineering,Antivirus,63,814776.63
China,2019,Ransomware,IT,72.29,666683,Hacker Group,Zero-day,Encryption,34,666755.29
Germany,2016,DDoS,Banking,44.17,236438,Hacker Group,Weak Passwords,Antivirus,24,236482.17
Russia,2020,DDoS,Education,60.94,798113,Insider,Social Engineering,Antivirus,23,798173.94
Germany,2021,Malware,Healthcare,23.34,518982,Hacker Group,Weak Passwords,VPN,20,519005.34
Germany,2015,DDoS,IT,76.99,252225,Unknown,Unpatched Software,Antivirus,67,252301.99
USA,2017,SQL Injection,Government,60.66,5346,Unknown,Zero-day,Antivirus,69,5406.66
China,2017,DDoS,Retail,19.36,4814,Unknown,Social Engineering,AI-based Detection,42,4833.36
Brazil,2021,SQL Injection,Banking,50.61,772512,Hacker Group,Weak Passwords,Encryption,42,772562.61
Australia,2023,Phishing,Education,81.81,16360,Nation-state,Unpatched Software,AI-based Detection,37,16441.81
India,2024,Phishing,Telecommunications,38.68,224143,Nation-state,Social Engineering,Antivirus,60,224181.68
Russia,2023,SQL Injection,IT,52.35,743325,Insider,Weak Passwords,VPN,9,743377.35
France,2019,Phishing,Education,81.47,597542,Unknown,Weak Passwords,VPN,11,597623.47
Russia,2024,Malware,Education,55.15,913591,Hacker Group,Zero-day,AI-based Detection,51,913646.15
Japan,2023,SQL Injection,IT,8.24,183702,Nation-state,Zero-day,VPN,57,183710.24
China,2024,Ransomware,Healthcare,42.26,685837,Insider,Social Engineering,VPN,68,685879.26
India,2015,Phishing,Healthcare,28.6,690500,Hacker Group,Weak Passwords,Encryption,11,690528.6
India,2016,SQL Injection,Banking,4.31,520308,Insider,Zero-day,VPN,39,520312.31
India,2020,Phishing,Education,17.43,84643,Nation-state,Unpatched Software,Antivirus,53,84660.43
France,2023,Malware,Healthcare,85.28,762282,Hacker Group,Social Engineering,Firewall,11,762367.28
France,2022,Malware,Education,70.46,427144,Unknown,Social Engineering,Firewall,42,427214.46
Russia,2018,Man-in-the-Middle,Banking,86.87,800683,Nation-state,Unpatched Software,Firewall,57,800769.87
Japan,2024,Man-in-the-Middle,Education,46.39,662101,Insider,Social Engineering,VPN,7,662147.39
Australia,2016,Malware,IT,30.72,977343,Hacker Group,Weak Passwords,VPN,47,977373.72
India,2021,Ransomware,Education,86.73,534013,Unknown,Unpatched Software,Firewall,49,534099.73
China,2024,SQL Injection,Education,18.45,947933,Insider,Social Engineering,Antivirus,10,947951.45
Australia,2017,Malware,Retail,9.25,692167,Unknown,Weak Passwords,Encryption,70,692176.25
Japan,2023,Malware,IT,23.16,320277,Unknown,Weak Passwords,Encryption,69,320300.16
Japan,2017,Ransomware,Retail,49.75,163062,Unknown,Unpatched Software,AI-based Detection,43,163111.75
Australia,2017,Malware,Banking,25.76,801821,Unknown,Weak Passwords,AI-based Detection,18,801846.76
China,2016,Ransomware,Government,72.25,860664,Unknown,Zero-day,Firewall,10,860736.25
Japan,2018,Man-in-the-Middle,Education,20.85,511823,Insider,Zero-day,AI-based Detection,43,511843.85
Germany,2024,Man-in-the-Middle,IT,93.13,952299,Unknown,Weak Passwords,VPN,33,952392.13
India,2018,Phishing,Education,5.27,982450,Unknown,Weak Passwords,Firewall,32,982455.27
Australia,2024,DDoS,Retail,28.16,411083,Unknown,Weak Passwords,Firewall,30,411111.16
USA,2019,Man-in-the-Middle,Government,17.59,43140,Insider,Social Engineering,AI-based Detection,28,43157.59
UK,2018,Malware,Education,51.59,935465,Nation-state,Weak Passwords,AI-based Detection,28,935516.59
Germany,2018,DDoS,Banking,81.34,52799,Insider,Zero-day,AI-based Detection,38,52880.34
China,2020,SQL Injection,Telecommunications,70.02,688312,Nation-state,Unpatched Software,VPN,48,688382.02
France,2024,Phishing,Government,5.18,219162,Hacker Group,Unpatched Software,Encryption,23,219167.18
UK,2017,Man-in-the-Middle,Telecommunications,60.01,740448,Hacker Group,Weak Passwords,Encryption,26,740508.01
France,2016,Ransomware,Banking,62.73,596776,Nation-state,Zero-day,Firewall,17,596838.73
Australia,2022,SQL Injection,Telecommunications,56.2,571454,Insider,Weak Passwords,VPN,42,571510.2
Russia,2020,DDoS,Government,72.59,787260,Insider,Weak Passwords,Firewall,15,787332.59
UK,2018,Malware,Healthcare,19.79,805745,Insider,Weak Passwords,Firewall,7,805764.79
Russia,2020,SQL Injection,Telecommunications,35.02,377194,Unknown,Weak Passwords,Firewall,50,377229.02
China,2023,Malware,Education,37.07,417554,Insider,Unpatched Software,Antivirus,35,417591.07
China,2019,SQL Injection,Government,65.85,252025,Hacker Group,Zero-day,Encryption,60,252090.85
India,2015,Ransomware,Education,96.03,898251,Hacker Group,Weak Passwords,Antivirus,70,898347.03
Brazil,2015,Man-in-the-Middle,Banking,74.27,551388,Unknown,Unpatched Software,Encryption,51,551462.27
India,2017,DDoS,Banking,45.98,538245,Hacker Group,Weak Passwords,AI-based Detection,18,538290.98
India,2021,Malware,Telecommunications,50.97,838461,Nation-state,Zero-day,AI-based Detection,6,838511.97
Brazil,2020,SQL Injection,Banking,68.05,912770,Unknown,Zero-day,AI-based Detection,67,912838.05
India,2021,DDoS,Education,95.95,62194,Nation-state,Zero-day,AI-based Detection,12,62289.95
UK,2023,Man-in-the-Middle,Banking,15.01,416522,Insider,Social Engineering,VPN,63,416537.01
UK,2021,DDoS,IT,70.49,530341,Insider,Social Engineering,VPN,40,530411.49
Japan,2022,Ransomware,IT,73.1,346939,Insider,Weak Passwords,VPN,21,347012.1
Russia,2021,Phishing,Banking,78.45,56333,Unknown,Social Engineering,VPN,8,56411.45
Germany,2018,Ransomware,IT,27.51,644913,Unknown,Weak Passwords,VPN,32,644940.51
Japan,2017,SQL Injection,Banking,18.01,295917,Unknown,Weak Passwords,VPN,57,295935.01
India,2020,Malware,Healthcare,20.62,54206,Insider,Unpatched Software,VPN,51,54226.62
India,2018,DDoS,Telecommunications,47.5,423071,Unknown,Unpatched Software,Antivirus,69,423118.5
Australia,2021,Man-in-the-Middle,Healthcare,17.62,687020,Unknown,Weak Passwords,Antivirus,48,687037.62
USA,2020,Ransomware,Education,77.09,550317,Insider,Weak Passwords,Encryption,63,550394.09
Germany,2021,Phishing,Banking,48,170032,Nation-state,Social Engineering,Encryption,24,170080
China,2020,SQL Injection,Healthcare,11.55,388591,Unknown,Zero-day,Antivirus,68,388602.55
India,2023,DDoS,Healthcare,2.27,438318,Hacker Group,Unpatched Software,AI-based Detection,39,438320.27
India,2018,DDoS,Education,1.71,63389,Insider,Unpatched Software,VPN,20,63390.71
USA,2015,Man-in-the-Middle,Retail,95.66,377602,Nation-state,Zero-day,Firewall,15,377697.66
France,2021,SQL Injection,Government,42.75,467551,Unknown,Unpatched Software,Encryption,61,467593.75
UK,2022,Malware,Telecommunications,38.76,361529,Nation-state,Social Engineering,Firewall,67,361567.76
Australia,2019,Man-in-the-Middle,Retail,15.21,677755,Hacker Group,Social Engineering,Firewall,52,677770.21
UK,2022,Man-in-the-Middle,IT,66.25,303838,Nation-state,Zero-day,AI-based Detection,56,303904.25
India,2016,Ransomware,Banking,93.74,339815,Insider,Weak Passwords,Firewall,58,339908.74
Russia,2020,Ransomware,Banking,13.66,820140,Insider,Social Engineering,VPN,63,820153.66
Russia,2015,Ransomware,IT,49.3,879875,Insider,Zero-day,Encryption,61,879924.3
Brazil,2022,Man-in-the-Middle,Healthcare,40.94,987320,Unknown,Zero-day,AI-based Detection,44,987360.94
Japan,2023,SQL Injection,Government,13.51,772948,Unknown,Zero-day,VPN,43,772961.51
Brazil,2015,Phishing,Healthcare,84.83,794914,Insider,Social Engineering,Firewall,34,794998.83
Brazil,2019,DDoS,Telecommunications,36.98,198563,Hacker Group,Social Engineering,Firewall,24,198599.98
Germany,2022,DDoS,Retail,21.45,32346,Nation-state,Unpatched Software,AI-based Detection,38,32367.45
China,2015,Phishing,Banking,18.39,541829,Nation-state,Zero-day,Antivirus,33,541847.39
Russia,2024,Phishing,Telecommunications,21.22,446028,Hacker Group,Weak Passwords,VPN,37,446049.22
France,2022,Malware,Education,13.06,759625,Insider,Social Engineering,Encryption,14,759638.06
Brazil,2017,Phishing,Retail,3.18,520654,Nation-state,Social Engineering,VPN,53,520657.18
USA,2023,DDoS,IT,99.64,248383,Insider,Social Engineering,Firewall,55,248482.64
China,2017,Man-in-the-Middle,Banking,62.39,855974,Unknown,Social Engineering,VPN,44,856036.39
China,2020,Malware,Government,84.23,50842,Insider,Zero-day,AI-based Detection,59,50926.23
Germany,2015,Man-in-the-Middle,Education,81.5,697275,Nation-state,Weak Passwords,Encryption,59,697356.5
Germany,2022,Man-in-the-Middle,Telecommunications,0.54,419912,Nation-state,Zero-day,AI-based Detection,40,419912.54
Japan,2023,Man-in-the-Middle,Banking,65.8,193620,Nation-state,Zero-day,VPN,67,193685.8
China,2024,SQL Injection,Banking,58.32,777684,Unknown,Zero-day,VPN,31,777742.32
UK,2018,Malware,Healthcare,27.61,375245,Hacker Group,Social Engineering,Firewall,20,375272.61
China,2023,Man-in-the-Middle,IT,22.96,656090,Insider,Unpatched Software,Encryption,27,656112.96
Australia,2016,Man-in-the-Middle,IT,80.27,653967,Unknown,Unpatched Software,Encryption,21,654047.27
India,2022,SQL Injection,Education,0.83,977791,Unknown,Weak Passwords,Antivirus,15,977791.83
UK,2023,DDoS,Telecommunications,81.91,397687,Hacker Group,Social Engineering,VPN,65,397768.91
France,2017,Malware,Banking,40.87,719537,Nation-state,Zero-day,AI-based Detection,23,719577.87
Brazil,2017,DDoS,Telecommunications,34.79,724790,Hacker Group,Unpatched Software,Firewall,64,724824.79
France,2016,Phishing,IT,33.33,51723,Hacker Group,Weak Passwords,Encryption,23,51756.33
India,2023,Ransomware,Healthcare,18.26,312340,Nation-state,Zero-day,VPN,35,312358.26
India,2016,Man-in-the-Middle,Banking,15.28,995025,Unknown,Weak Passwords,AI-based Detection,52,995040.28
France,2024,SQL Injection,Telecommunications,48.77,336356,Hacker Group,Unpatched Software,Encryption,2,336404.77
France,2017,Ransomware,Retail,48.93,886212,Unknown,Weak Passwords,Encryption,67,886260.93
Japan,2016,Ransomware,Healthcare,37.23,209358,Nation-state,Social Engineering,Firewall,25,209395.23
Russia,2022,DDoS,Education,69.24,495616,Nation-state,Unpatched Software,Antivirus,38,495685.24
China,2021,SQL Injection,Government,55.55,224311,Insider,Zero-day,Firewall,57,224366.55
Japan,2022,DDoS,IT,51.95,65516,Insider,Weak Passwords,Firewall,37,65567.95
Germany,2024,Ransomware,Government,40.36,301972,Unknown,Weak Passwords,VPN,33,302012.36
Germany,2015,Phishing,Telecommunications,47.04,124250,Insider,Zero-day,AI-based Detection,64,124297.04
USA,2018,Man-in-the-Middle,Healthcare,22.61,733934,Nation-state,Zero-day,Firewall,31,733956.61
Brazil,2022,Malware,IT,19.26,377446,Unknown,Zero-day,AI-based Detection,12,377465.26
China,2021,SQL Injection,IT,98.57,430792,Insider,Weak Passwords,Antivirus,9,430890.57
UK,2015,Malware,IT,96.79,825881,Unknown,Zero-day,AI-based Detection,35,825977.79
USA,2020,Malware,Telecommunications,27.16,858207,Nation-state,Unpatched Software,AI-based Detection,42,858234.16
Germany,2021,Ransomware,Healthcare,16.64,912847,Unknown,Weak Passwords,Antivirus,27,912863.64
UK,2018,Malware,Banking,41.34,82287,Unknown,Unpatched Software,Encryption,61,82328.34
USA,2020,Man-in-the-Middle,Education,44.85,527938,Nation-state,Zero-day,Encryption,1,527982.85
UK,2022,DDoS,Telecommunications,50.9,645154,Insider,Weak Passwords,AI-based Detection,16,645204.9
India,2018,Ransomware,Retail,26.01,732636,Hacker Group,Zero-day,VPN,3,732662.01
Russia,2015,DDoS,Retail,69.61,26321,Nation-state,Zero-day,Encryption,11,26390.61
Germany,2023,Ransomware,Banking,52.88,982507,Unknown,Unpatched Software,Encryption,39,982559.88
Russia,2019,Malware,Retail,11.57,367712,Nation-state,Weak Passwords,Firewall,13,367723.57
Russia,2015,DDoS,Telecommunications,83.28,236346,Insider,Unpatched Software,AI-based Detection,55,236429.28
Australia,2018,SQL Injection,Retail,51.46,287089,Nation-state,Weak Passwords,Encryption,8,287140.46
Brazil,2024,Malware,Healthcare,50.71,964191,Unknown,Weak Passwords,VPN,36,964241.71
China,2016,SQL Injection,Healthcare,52.68,55913,Nation-state,Social Engineering,Antivirus,70,55965.68
Japan,2015,Phishing,Government,98.29,850600,Insider,Zero-day,Encryption,17,850698.29
France,2024,Phishing,Retail,45.57,201137,Hacker Group,Zero-day,Antivirus,25,201182.57
Germany,2017,Malware,Healthcare,1.68,859708,Nation-state,Weak Passwords,Encryption,10,859709.68
Russia,2016,Phishing,Government,2.74,863777,Insider,Zero-day,Antivirus,20,863779.74
Japan,2024,SQL Injection,Banking,67.37,521384,Unknown,Social Engineering,Antivirus,32,521451.37
Russia,2022,SQL Injection,Government,69.09,474183,Insider,Weak Passwords,Antivirus,27,474252.09
Brazil,2018,SQL Injection,Retail,36.63,829742,Insider,Unpatched Software,Firewall,57,829778.63
USA,2021,DDoS,Telecommunications,99.81,460842,Unknown,Weak Passwords,AI-based Detection,59,460941.81
Australia,2022,Malware,Retail,47.33,839881,Unknown,Zero-day,Firewall,51,839928.33
Brazil,2017,DDoS,IT,72.48,860625,Unknown,Zero-day,Firewall,4,860697.48
UK,2019,SQL Injection,Healthcare,65.47,263110,Insider,Social Engineering,Firewall,6,263175.47
Japan,2020,Man-in-the-Middle,IT,13.61,506364,Nation-state,Social Engineering,Firewall,66,506377.61
USA,2021,Phishing,Education,6.01,176772,Insider,Unpatched Software,Firewall,6,176778.01
Brazil,2021,SQL Injection,Retail,1.32,564277,Nation-state,Weak Passwords,Firewall,1,564278.32
Australia,2017,Man-in-the-Middle,Retail,47.97,36780,Insider,Unpatched Software,AI-based Detection,64,36827.97
Germany,2021,Ransomware,Retail,46.82,589744,Nation-state,Weak Passwords,VPN,32,589790.82
Russia,2018,Malware,Government,59.01,309230,Hacker Group,Social Engineering,Encryption,61,309289.01
China,2024,Man-in-the-Middle,Telecommunications,53.59,4913,Hacker Group,Weak Passwords,AI-based Detection,61,4966.59
Brazil,2020,SQL Injection,Education,50.41,350295,Insider,Unpatched Software,Encryption,5,350345.41
USA,2020,DDoS,Banking,60.2,998937,Nation-state,Zero-day,Antivirus,19,998997.2
Brazil,2018,Malware,Telecommunications,96.22,445546,Nation-state,Weak Passwords,Firewall,45,445642.22
Brazil,2023,SQL Injection,Healthcare,7.33,486146,Insider,Zero-day,Firewall,12,486153.33
UK,2016,Phishing,Education,29.49,466333,Hacker Group,Zero-day,Firewall,51,466362.49
Japan,2019,Phishing,Government,73.35,706019,Nation-state,Zero-day,Encryption,65,706092.35
UK,2020,DDoS,Retail,70.03,971464,Nation-state,Weak Passwords,Firewall,4,971534.03
India,2015,Man-in-the-Middle,IT,76.97,224983,Nation-state,Weak Passwords,AI-based Detection,42,225059.97
Brazil,2019,Ransomware,Telecommunications,87.41,919425,Nation-state,Unpatched Software,Encryption,45,919512.41
Russia,2023,DDoS,Telecommunications,57.25,115138,Unknown,Unpatched Software,Encryption,42,115195.25
Japan,2020,Phishing,IT,99.57,786468,Nation-state,Social Engineering,AI-based Detection,42,786567.57
India,2023,Phishing,Retail,5.11,620560,Hacker Group,Weak Passwords,Antivirus,59,620565.11
USA,2017,Malware,Government,56.74,976007,Insider,Social Engineering,Encryption,59,976063.74
France,2016,DDoS,Education,46.58,361163,Hacker Group,Zero-day,Firewall,38,361209.58
Brazil,2017,Ransomware,Healthcare,54.78,469735,Nation-state,Zero-day,Encryption,57,469789.78
USA,2015,Man-in-the-Middle,IT,46.27,117231,Unknown,Unpatched Software,AI-based Detection,28,117277.27
Germany,2018,Ransomware,Healthcare,14.38,276925,Unknown,Unpatched Software,VPN,54,276939.38
Australia,2019,Malware,Telecommunications,37.3,208089,Unknown,Zero-day,Antivirus,33,208126.3
Australia,2016,Phishing,Telecommunications,63.81,71720,Hacker Group,Zero-day,Encryption,21,71783.81
Russia,2024,Ransomware,Telecommunications,35.62,236676,Nation-state,Social Engineering,AI-based Detection,67,236711.62
India,2024,Man-in-the-Middle,Telecommunications,93.46,409281,Nation-state,Weak Passwords,Antivirus,18,409374.46
Japan,2023,Phishing,Banking,82.36,612815,Insider,Zero-day,Antivirus,12,612897.36
Russia,2018,SQL Injection,Telecommunications,11.32,153618,Nation-state,Weak Passwords,VPN,29,153629.32
India,2023,Ransomware,Banking,57.15,704230,Nation-state,Zero-day,VPN,71,704287.15
China,2019,Malware,Retail,79.37,863510,Hacker Group,Weak Passwords,VPN,2,863589.37
India,2024,DDoS,Healthcare,4.08,488599,Unknown,Social Engineering,Encryption,11,488603.08
France,2022,Ransomware,Healthcare,80.73,964782,Unknown,Weak Passwords,VPN,47,964862.73
Germany,2018,Man-in-the-Middle,IT,48.96,323027,Unknown,Unpatched Software,Encryption,49,323075.96
China,2023,Man-in-the-Middle,Education,10.55,12970,Unknown,Social Engineering,Antivirus,32,12980.55
India,2020,Man-in-the-Middle,Government,50.19,659835,Unknown,Zero-day,Encryption,46,659885.19
China,2023,SQL Injection,Telecommunications,66.92,336320,Hacker Group,Social Engineering,VPN,51,336386.92
China,2017,Man-in-the-Middle,Banking,47.52,83617,Insider,Unpatched Software,AI-based Detection,64,83664.52
Brazil,2018,Malware,Banking,87.13,99178,Nation-state,Unpatched Software,Antivirus,27,99265.13
Brazil,2024,Ransomware,Education,80.1,489369,Nation-state,Unpatched Software,Encryption,41,489449.1
Russia,2017,Phishing,Telecommunications,2.22,620350,Hacker Group,Zero-day,Firewall,45,620352.22
USA,2020,DDoS,Healthcare,38.14,846602,Insider,Weak Passwords,Firewall,31,846640.14
India,2017,Malware,Government,61.02,650042,Nation-state,Unpatched Software,Antivirus,48,650103.02
Japan,2019,Man-in-the-Middle,Government,61.01,549197,Hacker Group,Social Engineering,Antivirus,59,549258.01
France,2023,Phishing,IT,15.49,138639,Hacker Group,Unpatched Software,VPN,14,138654.49
Australia,2024,Man-in-the-Middle,Healthcare,93.4,833819,Insider,Unpatched Software,Antivirus,14,833912.4
India,2022,Malware,Retail,13.88,813217,Insider,Zero-day,AI-based Detection,71,813230.88
UK,2017,Malware,Banking,11.25,636273,Insider,Zero-day,Antivirus,30,636284.25
Russia,2017,Man-in-the-Middle,Banking,66.53,45277,Insider,Social Engineering,Firewall,43,45343.53
Australia,2015,Phishing,Telecommunications,89.41,488342,Hacker Group,Unpatched Software,Firewall,23,488431.41
France,2019,Phishing,IT,55.31,526220,Nation-state,Social Engineering,AI-based Detection,2,526275.31
USA,2023,DDoS,Education,90.38,311596,Insider,Weak Passwords,VPN,23,311686.38
Brazil,2024,DDoS,Retail,25.17,658226,Insider,Weak Passwords,VPN,52,658251.17
India,2019,Phishing,Education,6.29,344693,Hacker Group,Social Engineering,Encryption,19,344699.29
France,2016,Phishing,Education,37.57,380995,Unknown,Weak Passwords,VPN,60,381032.57
Brazil,2018,Malware,Banking,3.1,458185,Insider,Social Engineering,AI-based Detection,31,458188.1
Brazil,2022,Man-in-the-Middle,Education,91.69,581034,Insider,Social Engineering,VPN,67,581125.69
Russia,2019,Ransomware,Retail,19.97,722544,Hacker Group,Social Engineering,Encryption,14,722563.97
Brazil,2024,Phishing,IT,28.78,793783,Insider,Social Engineering,Firewall,17,793811.78
China,2023,SQL Injection,IT,53.21,620822,Unknown,Zero-day,Firewall,21,620875.21
Russia,2022,Ransomware,Healthcare,16.6,715102,Insider,Zero-day,Antivirus,2,715118.6
Russia,2021,Man-in-the-Middle,Banking,44.32,634390,Unknown,Zero-day,Antivirus,54,634434.32
Japan,2021,Ransomware,Government,10.34,791473,Nation-state,Weak Passwords,Firewall,58,791483.34
China,2022,Phishing,IT,41.81,631816,Unknown,Weak Passwords,Firewall,29,631857.81
Germany,2016,Malware,Banking,84.54,517353,Nation-state,Social Engineering,Antivirus,41,517437.54
Japan,2015,Malware,Telecommunications,40.38,118734,Insider,Unpatched Software,AI-based Detection,21,118774.38
India,2020,Man-in-the-Middle,Education,39.15,963367,Insider,Zero-day,Encryption,50,963406.15
Australia,2021,SQL Injection,Telecommunications,22.51,71557,Insider,Social Engineering,Antivirus,47,71579.51
Brazil,2017,Ransomware,Government,58.18,824704,Hacker Group,Zero-day,Antivirus,30,824762.18
Germany,2023,Man-in-the-Middle,Banking,92.48,1326,Nation-state,Social Engineering,Antivirus,11,1418.48
UK,2015,Phishing,Banking,51.38,630931,Insider,Zero-day,AI-based Detection,48,630982.38
